,Job_Title,Company,Location,Type,Work_Mode,Req_Experience,URL
26,Senior Data Scientist,Vertex Technologies -,"Cairo, Egypt",Full Time,On-site,· 5+ Yrs of Exp,https://wuzzuf.net/jobs/p/yzal3d0v861d-senior-data-scientist-vertex-technologies-cairo-egypt
27,Cost Control Engineer,Saudi-firmness -,"Katameya, Cairo, Egypt",Full Time,On-site,· 4 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/lqteo3iv3stg-cost-control-engineer-saudi-firmness-cairo-egypt
28,Planning Engineer,Doosan Enerbility co .LTD -,"Dabaa, Matruh, Egypt",Full Time,On-site,· 2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/mzvc0tsma55d-planning-engineer-doosan-enerbility-co-ltd-matruh-egypt
29,Planning Engineer,etisal for advanced industries -,"6th of October, Giza, Egypt",Full Time,On-site,· 0 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/m9xesrhuzufc-planning-engineer-etisal-for-advanced-industries-giza-egypt
30,Project Control Engineer,Intrade -,"6th of October, Giza, Egypt",Full Time,On-site,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/ezasiyv4c17y-project-control-engineer-intrade-giza-egypt
31,Senior AI Engineer,Efada Technology -,"New Cairo, Cairo, Egypt",Full Time,On-site,· 4+ Yrs of Exp,https://wuzzuf.net/jobs/p/e24mgm9chl4v-senior-ai-engineer-efada-technology-cairo-egypt
32,Associate Product Manager (Engineering Background),Menthum -,"Maadi, Cairo, Egypt",Full Time,On-site,· 2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/q6qo9fkpy5ac-associate-product-manager-engineering-background-menthum-cairo-egypt
33,Fleet Operations Manager,ACMA for Chemicals and Mining -,"Beni Suef, Beni Suef, Egypt",Full Time,On-site,· 8 - 14 Yrs of Exp,https://wuzzuf.net/jobs/p/8hncaihhaxs2-fleet-operations-manager-acma-for-chemicals-and-mining-beni-suef-egypt
34,Document Controller,El Alfy Group -,"Maadi, Cairo, Egypt",Full Time,On-site,· 2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/elnpskctbwln-document-controller-el-alfy-group-cairo-egypt
35,Software Development Manager,UNIPREP -,"Bengaluru, India",Full Time,On-site,· 0 - 6 Yrs of Exp,https://wuzzuf.net/jobs/p/llqu0busdk8y-software-development-manager-uniprep-bengaluru-india
36,Senior Outsystems Developer,Link Development -,"Cairo, Egypt",Full Time,On-site,· 3 - 6 Yrs of Exp,https://wuzzuf.net/jobs/p/so0iisbrp8l0-senior-outsystems-developer-link-development-cairo-egypt
37,Material Control,Doosan Enerbility co .LTD -,"Dabaa, Matruh, Egypt",Full Time,On-site,· 5 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/ggtduwl8tz85-material-control-doosan-enerbility-co-ltd-matruh-egypt
38,Supply Chain Analyst,Akhnaton Trading and distribution - EVA Group Limted -,"Cairo, Egypt",Full Time,On-site,· 1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/o28dqfvkorh4-supply-chain-analyst-akhnaton-trading-and-distribution-eva-group-limted-cairo-egypt
39,IT Manager,Everlast -,"Heliopolis, Cairo, Egypt",Full Time,On-site,· 5 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/tap2sw5mahey-it-manager-everlast-cairo-egypt
40,Technical and Sales Operation,Turbo Compression -,"Heliopolis, Cairo, Egypt",Full Time,On-site,· 5 - 9 Yrs of Exp,https://wuzzuf.net/jobs/p/scibedkjkmfi-technical-and-sales-operation-turbo-compression-cairo-egypt
41,Planning & Data Supervisor,Family Corporation -,"Haram, Giza, Egypt",Full Time,On-site,· 1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/axweyysudwpr-planning-data-supervisor-family-corporation-giza-egypt
42,Production Planning Engineer,Confidential -,"Obour City, Cairo, Egypt",Full Time,On-site,· 3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/eus7vl5nyxug-production-planning-engineer-cairo-egypt
43,Senior Frontend Engineer (React/TypeScript),Aptivamena Tech -,"Cairo, Egypt",Full Time,On-site,· 6 - 15 Yrs of Exp,https://wuzzuf.net/jobs/p/uzrifevuk13z-senior-frontend-engineer-reacttypescript-aptivamena-tech-cairo-egypt
44,Data Scientist – Machine Learning & Generative AI,EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,Hybrid,· 1 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/ygbb8ah3zfkh-data-scientist-machine-learning-generative-ai-epsilonai-cairo-egypt
45,Senior Data Scientist,Vertex Technologies -,"Cairo, Egypt",Full Time,Hybrid,· 5+ Yrs of Exp,https://wuzzuf.net/jobs/p/yzal3d0v861d-senior-data-scientist-vertex-technologies-cairo-egypt
46,MLOps Engineer,Etisalat Egypt -,"Cairo, Egypt",Full Time,Hybrid,· 2 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/ol7kpd5vvteu-mlops-engineer-etisalat-egypt-cairo-egypt
47,R&D Chemist,Nebita Biochemicals -,"Cairo, Egypt",Full Time,Hybrid,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/bkky8cy6dlo0-rd-chemist-nebita-biochemicals-cairo-egypt
