Job_Title,Company,Location,Type,Work_Mode,Req_Experience,URL
Senior AI Engineer,Efada Technology -,"New Cairo, Cairo, Egypt",Full Time,On-site,· 4+ Yrs of Exp,https://wuzzuf.net/jobs/p/e24mgm9chl4v-senior-ai-engineer-efada-technology-cairo-egypt
Associate Product Manager (Engineering Background),Menthum -,"Maadi, Cairo, Egypt",Full Time,On-site,· 2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/q6qo9fkpy5ac-associate-product-manager-engineering-background-menthum-cairo-egypt
Production Planning Engineer,Confidential -,"Obour City, Cairo, Egypt",Full Time,On-site,· 3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/eus7vl5nyxug-production-planning-engineer-cairo-egypt
Senior Frontend Engineer (React/TypeScript),Aptivamena Tech -,"Cairo, Egypt",Full Time,On-site,· 6 - 15 Yrs of Exp,https://wuzzuf.net/jobs/p/uzrifevuk13z-senior-frontend-engineer-reacttypescript-aptivamena-tech-cairo-egypt
MAP Engineer,Zatus GmbH -,"Benghazi, Libya",Full Time,On-site,· 4 - 20 Yrs of Exp,https://wuzzuf.net/jobs/p/lfjwfm8aejq5-map-engineer-zatus-gmbh-benghazi-libya
Planning Manager - Engineering,Kandil Glass -,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site,· 7+ Yrs of Exp,https://wuzzuf.net/jobs/p/6fprvdlqbrko-planning-manager-engineering-kandil-glass-cairo-egypt
Software Development Manager,UNIPREP -,"Bengaluru, India",Full Time,On-site,· 0 - 6 Yrs of Exp,https://wuzzuf.net/jobs/p/llqu0busdk8y-software-development-manager-uniprep-bengaluru-india
Supply Chain Analyst,Akhnaton Trading and distribution - EVA Group Limted -,"Cairo, Egypt",Full Time,On-site,· 1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/o28dqfvkorh4-supply-chain-analyst-akhnaton-trading-and-distribution-eva-group-limted-cairo-egypt
Material Control,Doosan Enerbility co .LTD -,"Dabaa, Matruh, Egypt",Full Time,On-site,· 5 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/ggtduwl8tz85-material-control-doosan-enerbility-co-ltd-matruh-egypt
Technical and Sales Operation,Turbo Compression -,"Heliopolis, Cairo, Egypt",Full Time,On-site,· 5 - 9 Yrs of Exp,https://wuzzuf.net/jobs/p/scibedkjkmfi-technical-and-sales-operation-turbo-compression-cairo-egypt
IT Manager,Everlast -,"Heliopolis, Cairo, Egypt",Full Time,On-site,· 5 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/tap2sw5mahey-it-manager-everlast-cairo-egypt
Quality Control Manager,Classique Group -,"Sidi Bishr, Alexandria, Egypt",Full Time,On-site,· 6 - 10 Yrs of Exp,https://wuzzuf.net/jobs/p/2qlr37rdmo6y-quality-control-manager-classique-group-alexandria-egypt
"Director, AI & Data CoE",PULSE -,"Cairo, Egypt",Full Time,On-site,· 10+ Yrs of Exp,https://wuzzuf.net/jobs/p/3yd6fw6zovno-director-ai-data-coe-pulse-cairo-egypt
Quality Control Engineer,Confidential -,"6th of October, Giza, Egypt",Full Time,On-site,· 1 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/8kr21zmyfznd-quality-control-engineer-giza-egypt
Data Scientist – Machine Learning & Generative AI,EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,Hybrid,· 1 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/ygbb8ah3zfkh-data-scientist-machine-learning-generative-ai-epsilonai-cairo-egypt
Senior Data Scientist,Vertex Technologies -,"Cairo, Egypt",Full Time,Hybrid,· 5+ Yrs of Exp,https://wuzzuf.net/jobs/p/yzal3d0v861d-senior-data-scientist-vertex-technologies-cairo-egypt
MLOps Engineer,Etisalat Egypt -,"Cairo, Egypt",Full Time,Hybrid,· 2 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/ol7kpd5vvteu-mlops-engineer-etisalat-egypt-cairo-egypt
R&D Chemist,Nebita Biochemicals -,"Cairo, Egypt",Full Time,Hybrid,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/bkky8cy6dlo0-rd-chemist-nebita-biochemicals-cairo-egypt
AI Engineer,ITGoals -,"New Cairo, Cairo, Egypt",Full Time,Hybrid,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/obuc0novnoqj-ai-engineer-itgoals-cairo-egypt
AI Full-Stack Developer / AI Engineer,Confidential -,"Cairo, Egypt",Full Time,Hybrid,· 1 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/rnyj8lf7jlzj-ai-full-stack-developer-ai-engineer-cairo-egypt
Operations Excellence & Assurance Lead,El Tawheed We El Noor - التوحيد والنور -,"Mohandessin, Giza, Egypt",Full Time,Hybrid,· 5 - 8 Yrs of Exp,https://wuzzuf.net/jobs/p/r8l2bkguer6e-operations-excellence-assurance-lead-el-tawheed-we-el-noor-altohyd-oalnor-giza-egypt
Senior DevOps Engineer,Vertex Technologies -,"Cairo, Egypt",Full Time,Hybrid,· 3+ Yrs of Exp,https://wuzzuf.net/jobs/p/uy3j5nf9qgqs-senior-devops-engineer-vertex-technologies-cairo-egypt
Full Stack .NET Developer – AI-Assisted Development,Roaya -,"Maadi, Cairo, Egypt",Full Time,On-site,· 0 - 1 Yrs of Exp,https://wuzzuf.net/jobs/p/l7avtmywmfxg-full-stack-net-developer-ai-assisted-development-roaya-cairo-egypt
"AI & API Integration Developer (Full-Time, Remote)",iBrokerage Ltd. -,"Cairo, Egypt",Full Time,On-site,· 3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/izzdd2byxhfw-ai-api-integration-developer-full-time-remote-ibrokerage-ltd-cairo-egypt
AI & Business Process Transformation Manager,Luxury Hospitality -,"Giza, Egypt",Full Time,On-site,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/7odmfeuocw2j-ai-business-process-transformation-manager-luxury-hospitality-giza-egypt
Senior AI & Software Engineer,The-Code -,"Cairo, Egypt",Full Time,On-site,· 5 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/3sknscktm5if-senior-ai-software-engineer-the-code-cairo-egypt
AI Engineer,Confidential -,"Sheraton, Cairo, Egypt",Full Time,On-site,· 3 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/kca9wrw4ul4l-ai-engineer-cairo-egypt
AI-Powered Full-Stack Developer,TAB ERP Solutions -,"Cairo, Egypt",Full Time,On-site,· 2 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/hbruwzefkcn0-ai-powered-full-stack-developer-tab-erp-solutions-cairo-egypt
Middle Full-Stack (PHP) - AI Expertise,Vertex Technologies -,"Cairo, Egypt",Full Time,On-site,· 2+ Yrs of Exp,https://wuzzuf.net/jobs/p/yqpqphojdzwj-middle-full-stack-php-ai-expertise-vertex-technologies-cairo-egypt
Junior AI Technology Engineer,Investia Venture Capital -,"New Cairo, Cairo, Egypt",Full Time,On-site,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/gv1msetmo0bw-junior-ai-technology-engineer-investia-venture-capital-cairo-egypt
AI Engineer (LLM & AI Applications),Exab -,"Cairo, Egypt",Full Time,On-site,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/f3fqbcncr7i6-ai-engineer-llm-ai-applications-exab-cairo-egypt
B2B Sales Specialist – Enterprise AI & Learning Solutions,EpsilonAI -,"Cairo, Egypt",Full Time,On-site,· 1 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/gmkmvjt2c3cw-b2b-sales-specialist-enterprise-ai-learning-solutions-epsilonai-cairo-egypt
Telesales Executive – AI Solutions & Education,EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,On-site,· 1 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/ifvsclqhpw2t-telesales-executive-ai-solutions-education-epsilonai-cairo-egypt
AI Full-Stack Developer / AI Engineer,Confidential -,"Cairo, Egypt",Full Time,On-site,· 1 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/rnyj8lf7jlzj-ai-full-stack-developer-ai-engineer-cairo-egypt
Senior AI Engineer,Efada Technology -,"New Cairo, Cairo, Egypt",Full Time,On-site,· 4+ Yrs of Exp,https://wuzzuf.net/jobs/p/e24mgm9chl4v-senior-ai-engineer-efada-technology-cairo-egypt
"Director, AI & Data CoE",PULSE -,"Cairo, Egypt",Full Time,On-site,· 10+ Yrs of Exp,https://wuzzuf.net/jobs/p/3yd6fw6zovno-director-ai-data-coe-pulse-cairo-egypt
AI Fashion & Textile Content Creator,El Chourbagi -,"Heliopolis, Cairo, Egypt",Full Time,On-site,· 3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/pxtsg5lwrq8i-ai-fashion-textile-content-creator-el-chourbagi-cairo-egypt
AI Video Production,Engineeius -,"Cairo, Egypt",Freelance / Project,Remote,· 2+ Yrs of Exp,https://wuzzuf.net/jobs/p/reb7hiksiwdr-ai-video-production-engineeius-cairo-egypt
Data Scientist – Machine Learning & Generative AI,EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,Remote,· 1 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/ygbb8ah3zfkh-data-scientist-machine-learning-generative-ai-epsilonai-cairo-egypt
Senior AI Machine Learning Engineer,Techsa -,"Cairo, Egypt",Full Time,Remote,· 3+ Yrs of Exp,https://wuzzuf.net/jobs/p/vu52uzynigyg-senior-ai-machine-learning-engineer-techsa-cairo-egypt
Generative AI Engineer,Etisalat Egypt -,"Mohandessin, Giza, Egypt",Full Time,Remote,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/akqwplo1gphu-generative-ai-engineer-etisalat-egypt-giza-egypt
Export Manager (Herbs) - Fayoum,البدر للإستيراد والتصدير -,"Fayoum, Fayoum, Egypt",Full Time,Remote,· 10+ Yrs of Exp,https://wuzzuf.net/jobs/p/sx5rpsweaeod-export-manager-herbs-fayoum-albdr-llastyrad-oaltsdyr-fayoum-egypt
B2B Membership Growth & Sales Specialist – AI-Powered Content & Digital Outreach,Confidential -,"Cairo, Egypt",Full Time,Remote,· 5+ Yrs of Exp,https://wuzzuf.net/jobs/p/odlwjg0ccz2g-b2b-membership-growth-sales-specialist-ai-powered-content-digital-outreach-cairo-egypt
AI / Machine Learning Engineer,Confidential -,"Cairo, Egypt",Full Time,Remote,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/nsgeozvz1sas-ai-machine-learning-engineer-cairo-egypt
QA & AI Validation,YZH -,"New Cairo, Cairo, Egypt",Full Time,Remote,· 2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/z7je62qdgfbf-qa-ai-validation-yzh-cairo-egypt
General Manager,Confidential -,"Nasr City, Cairo, Egypt",Full Time,Remote,· 15 - 20 Yrs of Exp,https://wuzzuf.net/jobs/p/3rtunlr39o7o-general-manager-cairo-egypt
AI Engineer,Midas Global Tech -,"Shubra, Cairo, Egypt",Part Time,Remote,· 5+ Yrs of Exp,https://wuzzuf.net/jobs/p/ngu4glqj8nbv-ai-engineer-midas-global-tech-cairo-egypt
Generative AI Engineer.,Etisalat Egypt -,"Mohandessin, Giza, Egypt",Full Time,Remote,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/gjkeoggram76-generative-ai-engineer-etisalat-egypt-giza-egypt
Senior Data Scientist,Vertex Technologies -,"Cairo, Egypt",Full Time,Remote,· 5+ Yrs of Exp,https://wuzzuf.net/jobs/p/yzal3d0v861d-senior-data-scientist-vertex-technologies-cairo-egypt
AI Engineer,ITGoals -,"New Cairo, Cairo, Egypt",Full Time,Remote,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/obuc0novnoqj-ai-engineer-itgoals-cairo-egypt
Embedded Systems & AI Instructor,MICA -,"Haram, Giza, Egypt",Full Time,Remote,· 0 - 2 Yrs of Exp,https://wuzzuf.net/jobs/p/zpbuc7jbk256-embedded-systems-ai-instructor-mica-giza-egypt
Academic & IT Curriculum Director,MICA -,"Haram, Giza, Egypt",Full Time,Remote,· 8 - 20 Yrs of Exp,https://wuzzuf.net/jobs/p/vtco6sgxfjd7-academic-it-curriculum-director-mica-giza-egypt
Associate Product Manager (Engineering Background),Menthum -,"Maadi, Cairo, Egypt",Full Time,On-site,· 2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/q6qo9fkpy5ac-associate-product-manager-engineering-background-menthum-cairo-egypt
Islamic Content Creator,Consultraining Inc. -,"Cairo, Egypt",Full Time,On-site,· 1 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/nbhyqzmxeamf-islamic-content-creator-consultraining-inc-cairo-egypt
Enterprise AI Engineer,Specialized Seamless Services -,"Cairo, Egypt",Full Time,On-site,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/g1nftqvndq28-enterprise-ai-engineer-specialized-seamless-services-cairo-egypt
Fashion Designer,Confidential -,"Obour City, Cairo, Egypt",Full Time,On-site,· 3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/9byvlyad3wso-fashion-designer-cairo-egypt
senior graphic designer,Cairbou Coffee Egypt -,"Maadi, Cairo, Egypt",Full Time,On-site,· 3 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/i5caf3talmru-senior-graphic-designer-cairbou-coffee-egypt-cairo-egypt
Marketing Executive,Confidential -,"Giza, Egypt",Full Time,On-site,· 2 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/vle5dgxuvjka-marketing-executive-giza-egypt
Senior Machine Learning Engineer,TechJump -,"Alexandria, Egypt",Full Time,Hybrid,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/etxcwinbdjs4-senior-machine-learning-engineer-techjump-alexandria-egypt
Senior AI Machine Learning Engineer,Techsa -,"Cairo, Egypt",Full Time,Hybrid,· 3+ Yrs of Exp,https://wuzzuf.net/jobs/p/vu52uzynigyg-senior-ai-machine-learning-engineer-techsa-cairo-egypt
Data Scientist – Machine Learning & Generative AI,EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,Hybrid,· 1 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/ygbb8ah3zfkh-data-scientist-machine-learning-generative-ai-epsilonai-cairo-egypt
AI / Machine Learning Engineer,Confidential -,"Cairo, Egypt",Full Time,Hybrid,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/nsgeozvz1sas-ai-machine-learning-engineer-cairo-egypt
MLOps Engineer,Etisalat Egypt -,"Cairo, Egypt",Full Time,Hybrid,· 2 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/ol7kpd5vvteu-mlops-engineer-etisalat-egypt-cairo-egypt
AI Engineer (LLM & AI Applications),Exab -,"Cairo, Egypt",Full Time,Hybrid,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/f3fqbcncr7i6-ai-engineer-llm-ai-applications-exab-cairo-egypt
AI Engineer,Confidential -,"Sheraton, Cairo, Egypt",Full Time,Hybrid,· 3 - 4 Yrs of Exp,https://wuzzuf.net/jobs/p/kca9wrw4ul4l-ai-engineer-cairo-egypt
Senior AI Engineer,Efada Technology -,"New Cairo, Cairo, Egypt",Full Time,Hybrid,· 4+ Yrs of Exp,https://wuzzuf.net/jobs/p/e24mgm9chl4v-senior-ai-engineer-efada-technology-cairo-egypt
Senior Data Scientist,Vertex Technologies -,"Cairo, Egypt",Full Time,Hybrid,· 5+ Yrs of Exp,https://wuzzuf.net/jobs/p/yzal3d0v861d-senior-data-scientist-vertex-technologies-cairo-egypt
Technical Office Engineer - WoodWorking,DS HOME -,"Cairo, Egypt",Full Time,Hybrid,· 3 - 7 Yrs of Exp,https://wuzzuf.net/jobs/p/diue4dix7y7f-technical-office-engineer-woodworking-ds-home-cairo-egypt
